"Guests To Registered Customers Settings","Guests To Customers"
"Variable","Variable"
"Variable Code","Variable Code"
"Variable Name","Variable Name"
"Use Default Variable Values","Use Default Variable Values"
"No","No"
"Yes","Yes"
"Variable HTML Value","Variable HTML Value"
"Variable Plain Value","Variable Plain Value"
"Save and Continue Edit","Save and Continue Edit"
"Custom Variable "%s"","Custom Variable "%s""
"New Custom Variable","New Custom Variable"
"Order #","Order #"
"Purchased From (Store)","Purchased From (Store)"
"Purchased On","Purchased On"
"First Name","First Name"
"Last Name","Last Name"
"Email","Email"
"Status","Status"
"Action","Action"
"View Order","View Order"
"Convert to customer","Convert to customer"
"Customer Group","Customer Group"
"Guests To Registered Customers","Guests To Registered Customers"
"No Order ID found to convert","No Order ID found to convert"
"The customer (%s) already exists. So the customer has been merged","The customer (%s) already exists. So the customer has been merged"
"The guest (%s) is converted to customer","The guest (%s) is converted to customer"
"The order (%s) has been been assigned to the customer (%s)","The order (%s) has been been assigned to the customer (%s)"
"The email address already exists so the order has been merged to the existing account.","The email address already exists so the order has been merged to the existing account."
"Your account has been created and a email has been sent to you with their username and password.","Your account has been created and a email has been sent to you with their username and password."
"Sorry this order could not be converted to a customer account.","Sorry this order could not be converted to a customer account."
"Enable Automatic Guest to Customer Account At Checkout","Enable Automatic Guest to Customer Account At Checkout"
"Disable New Customer Email","Disable New Customer Email"
"If disabled new (converted) customers will NOT receive a email with a new username and password.","If disabled new (converted) customers will NOT receive a email with a new username and password."
"Enable Guest to Customer Account Button At Success/Checkout","Enable Guest to Customer Account Button At Success/Checkout"
"Your order has been received","Your order has been received"
"Thank you for your purchase!","Thank you for your purchase!"
"Your order # is: %s.","Your order # is: %s."
"You will receive an order confirmation email with details of your order and a link to track its progress.","You will receive an order confirmation email with details of your order and a link to track its progress."
"Your billing agreement # is: %s.","Your billing agreement # is: %s."
"Your recurring payment profiles:","Your recurring payment profiles:"
