"Sublogins","Sublogins"
"My Sublogins","Mijn Sublogins"
"Add","Voeg toe"
"Customer Id","Klant Id"
"Email ""%s"" already exists","E-mail ""%s"" bestaat al"
"Your password reset link has expired.","Uw wachtwoord herstel-link is verlopen."
"Your account is deactivated. You have received an email to reactivate the account.","Uw account is gedeactiveerd. U heeft een e-mail ontvangen om het account opnieuw te activeren."
"Store Id","Winkel Id"
"eMail","e-mail"
"Send Mail","Verstuur e-mail"
"Create new sublogin","Maak nieuwe sublogin aan"
"Firstname","Voornaam"
"Lastname","Achternaam"
"Days to Expire","Dagen tot deactivatie"
"Date to Expire","Deactivatie-datum"
"Customer Email","Klant e-mail"
"Sublogin Customer Id","Sublogin klant ID"
"Sublogin Email","Sublogin e-mail"
"Edit Customer","Bewerk klant"
"Further Logins","Overige logins"
"Mail","Mail",
"Expire Date","Verloopdatum"
"Expire interval","Verloop interval"
"Restriction My Sublogin area","Toegangsbeperking mijn-sublogin omgeving"
"If activated, a sublogin can not see the customer area my sublogins","Indien geactiveerd kan een sublogin niet de 'mijn-sublogins' zien in zijn klantomgeving"
"Restrict order view for sublogins","Toegangsbeperking order-weergave"
"If activated, a sublogin can only see his own orders in customer area.","Indien geactiveerd kan een sublogin alleen zijn eigen orders zien in zijn klantomgeving"
"If an account will be reactivated, type in here how long (in days) the accounts will be active again","Geef hier in hoe lang een account weer actief wordt nadat het account opnieuw geactiveerd is"
"Email settings","E-mailinstellingen"
"Send form (email)","E-mailadres afzender"
"Send from (name)","Naam afzender"
"BCC Receiver for emails","Ontvanger voor BCC-mails"
"Edit sublogin inside grid","Bewerk sublogins in een grid"
"If you have over 100 sublogins per customer you should disable this option else not everything might be saved (too much data).","Schakel deze optie uit bij meer dan 100 sublogins per klant om te voorkomen dat niet alles wordt opgeslagen (teveel data)"
"If you need more than one bcc receiver, just split them with "";""","Scheid meerdere ontvangers met een "";"""
"Type in the email address which the email should come from.","Geef het e-mailadres in waarvan gemaild wordt"
"Type in the name (e.g. of your company) which the email should come from.",Geef de naam op waarvan gemaild wordt (bijvoorbeeld de bedrijfsnaam)"
"No sublogins created for your account yet. Just click on create new sublogin to create a new one.","Dit account heeft nog geen sublogins. Klik op "Maak nieuwe sublogin aan om er een aan te maken"
"Subscribe for Newsletter","Meld aan voor de nieuwsbrief"
"Can create sublogins","Kan sublogins aanmaken"
"Is subscribed","Is aangemeld"
"Sublogins Configuration","Sublogin-instellingem"
"Sublogins","Sublogins"
"Can create sublogins","Kan sublogins aanmaken"
"If allowed, customer can create sublogins in frontend area","Indien een klant toestemmening heeft mag deze nieuwe sublogins aanmaken vanuit de front-end"
"Max. number of sublogins","Max. aantal sublogins"
"Configure the max. amount of sublogins the customer can create. 0 is unlimited.","Stel het maximum aantal sublogins in die een klant kan aanmaken. 0 is onbeperkt"
"Manage Sublogins","Beheer sublogins"
"Edit sublogin %s for customer %s","Bewerk sublogin %s for klant %s"
"Add new sublogin for customer %s","Voeg nieuwe sublogin toe voor klant %s"
"Edit Sublogin","Bewerk Sublogin"
"Delete Sublogin","Verwijder Sublogin"
"Only type in password if you need to change. Otherwise the password will not be set.","Geef het wachtwoord alleen in als het gewijzigd moet worden."
"Import Sublogins","Imporeer sublogins"
"Add Sublogin","Voeg sublogin toe"
"Prefix","Prefix"
"Addresses","Adressen"
"Sublogin","Sublogin"
"Order Approval Required","Vereist order-goedkeuring"
"Send order email also to main account","Verstuur orderbevestiging naar hoofdaccount"
"If activated, the order email made by a sublogin will be also sent to the main account holder."Indien geactiveerd wordt de order-bevesting ook naar het hoofdaccount verstuurd."
"Order is approved.","Order is bevestigd"
"OrderID not found","OrderID niet gevonden"
"Order is declined.","Order is afgekeurd."
"Order needs approval","Order heeft bevestiging nodig"
"Approve Order","Bevestig order"
"Decline Order","Wijs order af"
"Form fields","Formuliervelden"
"Delete not approved orders","Verwijder onbevestigde orders"
"If activated, main login can delete not approved orders of their sublogin.","Indien geactiveerd kan een hoofdaccount onbevestigde orders van een sublogin verwijderen."
"Order Approval Cart Page Notice","Melding van order-bevesting op winkelwagen-pagina"
"Save sublogin address","Sla sublogin-adres op"
"Enable mainaccount login","Schakel inloggen hoofdaccount in"
"If activated, a mainaccount can directly login to a sublogin without having their password.","Indien geactiveerd kan een hoofdaccount direct inloggen als sublogin zonder het wachtwoord daarvoor te weten"
"Budget settings","Budgetinstellingen"
"Should mainaccount to be able to set budgets for their sublogins in frontend?","Moet het hoofdaccount in staat zijn om budgetten in te stellen voor sublogins in de front-end?"
"If you need more than one bcc receiver, just split them with "";""","Mocht je meer dan 1 BCC-adres hebben, scheid ze met een "";"""
"Email template new sublogin","E-mailtemplate nieuwe sublogin"
"Email template new password","E-mailtemplate nieuw wachtwoord"
"Email template expired account refreshing","E-mailtemplate vernieuwen verlopen account"
"Email template Main login order alert","E-mailtemplate order waarschuwing hoofdaccount"
"Email template Order Require Approval","E-mailtemplate order moet bevestigd worden"
"Email template Order Declined","Email template order afgekeurd"
"Separate multiple entries by comma. Example: acl_identifier1,acl_identifier2","Scheid meerdere entries met een komma, bijvoorbeeld: acl_identifier1,acl_identifier2"
"If set to no then sublogin address will not be saved in mainlogin's address book. If set to yes then default Magento process will be done.","Indien nee, wordt een sublogin niet opgeslagen in het hoofdaccount. Indien ja, wordt het normale Magento orderproces uitgevoerd"
"General settings","Algemene instellingen"
